Galactic Concordance 2015	REV.2.6.3
Std MW Zeta Scaling, Fe scale
Base Element: Fe
Lower Break: Chi0 = -1.00
Upper Break: Chi1 = +0.50
Z	El	 GC2015	Xi(Fe)
1	H	  0.000	Const
2	He	 -1.010	Special
3	Li	 -8.722	Const
4	Be	-10.680	Const
5	B	 -9.193	Const
6	C	 -3.577	0.063
7	N	 -4.210	-0.264
8	O	 -3.240	0.500
9	F	 -7.560	0.500
10	Ne	 -3.910	0.500
11	Na	 -5.790	0.200
12	Mg	 -4.440	0.400
13	Al	 -5.570	0.400
14	Si	 -4.500	0.400
15	P	 -6.590	0.000
16	S	 -4.880	0.400
17	Cl	 -6.750	0.500
18	Ar	 -5.600	0.500
19	K	 -6.960	0.400
20	Ca	 -5.680	0.350
21	Sc	 -8.840	0.250
22	Ti	 -7.070	0.350
23	V	 -8.110	0.000
24	Cr	 -6.380	0.000
25	Mn	 -6.580	0.000
26	Fe	 -4.480	0.000
27	Co	 -7.070	0.000
28	Ni	 -5.800	0.000
29	Cu	 -7.820	0.000
30	Zn	 -7.440	0.200
